drug_id,disease_id,disease_name,max_phase,drug_name
CHEMBL1201572,EFO_0002609,juvenile idiopathic arthritis,4.0,ETANERCEPT
CHEMBL1201572,EFO_0000676,psoriasis,4.0,ETANERCEPT
CHEMBL1201572,EFO_0000685,rheumatoid arthritis,4.0,ETANERCEPT
CHEMBL696,EFO_0000474,epilepsy,4.0,
CHEMBL622,EFO_0005755,rheumatic disease,4.0,ETODOLAC
CHEMBL681,EFO_0000537,hypertension,3.0,
CHEMBL44657,EFO_0000220,acute lymphoblastic leukemia,3.0,
CHEMBL1200645,EFO_0000574,lymphoma,3.0,ETOPOSIDE PHOSPHATE
CHEMBL1908360,EFO_0000305,breast carcinoma,4.0,EVEROLIMUS
CHEMBL1908360,EFO_0000681,renal cell carcinoma,4.0,EVEROLIMUS
CHEMBL1908360,EFO_0000616,neoplasm,4.0,EVEROLIMUS
CHEMBL1200374,EFO_0000305,breast carcinoma,4.0,EXEMESTANE
CHEMBL414357,EFO_0000400,diabetes mellitus,4.0,EXENATIDE
CHEMBL414357,EFO_0000612,myocardial infarction,3.0,EXENATIDE
CHEMBL414357,EFO_0001073,obesity,3.0,EXENATIDE
CHEMBL1138,HP_0003124,Hypercholesterolemia,4.0,EZETIMIBE
CHEMBL902,HP_0004398,Peptic ulcer,4.0,FAMOTIDINE
CHEMBL1164729,EFO_0004274,gout,4.0,FEBUXOSTAT
CHEMBL672,EFO_0000319,cardiovascular disease,4.0,FENOFIBRATE
CHEMBL688,EFO_0003843,pain,4.0,FENTANYL CITRATE
CHEMBL596,EFO_0003843,pain,4.0,FENTANYL
CHEMBL710,EFO_0001663,prostate carcinoma,4.0,FINASTERIDE
CHEMBL185,EFO_0000365,colorectal adenocarcinoma,3.0,FLUOROURACIL
CHEMBL563,EFO_0005752,eye inflammation,4.0,
CHEMBL1473,EFO_0000341,chronic obstructive pulmonary disease,4.0,FLUTICASONE PROPIONATE
CHEMBL1473,EFO_0004232,eosinophilic esophagitis,3.0,FLUTICASONE PROPIONATE
CHEMBL1200644,EFO_0004286,venous thromboembolism,3.0,FONDAPARINUX SODIUM
CHEMBL1200644,HP_0004936,Venous thrombosis,4.0,FONDAPARINUX SODIUM
CHEMBL1358,EFO_0000305,breast carcinoma,4.0,FULVESTRANT
CHEMBL35,EFO_0000373,congestive heart failure,4.0,FUROSEMIDE
CHEMBL35,EFO_0003818,lung disease,3.0,FUROSEMIDE
CHEMBL35,EFO_0003827,pulmonary embolism,3.0,FUROSEMIDE
CHEMBL940,EFO_0004698,insomnia,3.0,
CHEMBL940,EFO_0003843,pain,3.0,
CHEMBL1628502,EFO_0004270,restless legs syndrome,4.0,
CHEMBL939,EFO_0003060,non-small cell lung carcinoma,4.0,GEFITINIB
CHEMBL939,EFO_0004284,upper aerodigestive tract neoplasm,3.0,GEFITINIB
CHEMBL1637,EFO_0000616,neoplasm,3.0,
CHEMBL1637,EFO_0003060,non-small cell lung carcinoma,4.0,
CHEMBL1637,EFO_0002618,pancreatic carcinoma,4.0,
CHEMBL1073,EFO_0000400,diabetes mellitus,4.0,
CHEMBL1201027,EFO_0000341,chronic obstructive pulmonary disease,4.0,GLYCOPYRRONIUM BROMIDE
CHEMBL1200511,EFO_0000545,infertility,3.0,GONADORELIN ACETATE
CHEMBL1200501,EFO_0000305,breast carcinoma,4.0,GOSERELIN ACETATE
CHEMBL1200501,EFO_0001663,prostate carcinoma,3.0,GOSERELIN ACETATE
CHEMBL289469,EFO_0006911,Chemotherapy-induced nausea and vomiting,4.0,GRANISETRON
CHEMBL1200494,EFO_0003888,attention deficit hyperactivity disorder,4.0,
CHEMBL54,EFO_0005407,psychosis,4.0,HALOPERIDOL
CHEMBL5315126,EFO_0000545,infertility,4.0,FOLLITROPIN BETA
CHEMBL1201438,EFO_0000565,leukemia,3.0,
CHEMBL1201438,EFO_0002617,metastatic melanoma,4.0,
CHEMBL435,EFO_0000537,hypertension,4.0,HYDROCHLOROTHIAZIDE
CHEMBL3989677,EFO_0003843,pain,4.0,
CHEMBL1763,EFO_0000319,cardiovascular disease,4.0,HYDROFLUMETHIAZIDE
CHEMBL1200848,EFO_0003917,premature birth,4.0,HYDROXYPROGESTERONE CAPROATE
CHEMBL467,EFO_0000565,leukemia,3.0,
CHEMBL467,EFO_0000756,melanoma,4.0,
CHEMBL1873475,EFO_0000616,neoplasm,4.0,IBRUTINIB
CHEMBL521,HP_0001945,Fever,4.0,
CHEMBL521,HP_0003326,Myalgia,4.0,
CHEMBL521,EFO_0003843,pain,4.0,
CHEMBL494,EFO_0001361,pulmonary arterial hypertension,4.0,ILOPROST
CHEMBL1642,EFO_0000339,chronic myelogenous leukemia,4.0,IMATINIB MESYLATE
CHEMBL1642,EFO_0001361,pulmonary arterial hypertension,3.0,IMATINIB MESYLATE
CHEMBL1282,EFO_0002496,actinic keratosis,4.0,IMIQUIMOD
CHEMBL1282,EFO_0004193,basal cell carcinoma,4.0,IMIQUIMOD
CHEMBL1789842,EFO_0000341,chronic obstructive pulmonary disease,4.0,INDACATEROL MALEATE
CHEMBL406,EFO_0000537,hypertension,4.0,INDAPAMIDE
CHEMBL6,EFO_0000278,pancreatitis,3.0,
CHEMBL6,EFO_0003917,premature birth,3.0,
CHEMBL1201581,EFO_0003898,ankylosing spondylitis,4.0,INFLIXIMAB
